Temperatur in °C
Time	Seek Raw Averrage	Seek Raw Diff	Seek Raw Device Temperature	
00:00:00.168	7229	325	4231	
00:00:00.180	7229	325	4231	
00:00:00.303	7218	325	4231	
00:00:00.311	7218	325	4231	
00:00:00.427	7210	325	4231	
00:00:00.434	7210	325	4231	
00:00:00.968	7248	325	4231	
00:00:00.975	7248	325	4231	
00:00:01.113	7240	319	4230	
00:00:01.120	7240	319	4230	
00:00:01.266	7232	319	4230	
00:00:01.273	7232	319	4230	
00:00:01.441	7225	319	4230	
00:00:01.448	7225	319	4230	
00:00:01.546	7220	325	4231	
00:00:01.553	7220	325	4231	
00:00:02.097	7244	315	4229	
00:00:02.104	7244	315	4229	
00:00:02.228	7236	315	4229	
00:00:02.235	7236	315	4229	
00:00:02.400	7231	319	4230	
00:00:02.407	7231	319	4230	
00:00:02.561	7224	315	4229	
00:00:02.567	7224	315	4229	
00:00:02.668	7218	319	4230	
00:00:02.675	7218	319	4230	
00:00:03.213	7232	311	4228	
00:00:03.220	7232	311	4228	
00:00:03.320	7227	311	4228	
00:00:03.326	7227	311	4228	
00:00:03.471	7221	311	4228	
00:00:03.478	7221	311	4228	
00:00:03.596	7214	311	4228	
00:00:03.603	7214	311	4228	
00:00:03.775	7209	311	4228	
00:00:03.782	7209	311	4228	
00:00:03.905	7204	311	4228	
00:00:03.912	7204	311	4228	
00:00:04.080	7196	311	4228	
00:00:04.087	7196	311	4228	
00:00:04.185	7191	311	4228	
00:00:04.193	7191	311	4228	
00:00:04.370	7186	311	4228	
00:00:04.377	7186	311	4228	
00:00:04.495	7179	306	4227	
00:00:04.501	7179	306	4227	
00:00:04.676	7173	306	4227	
00:00:04.682	7173	306	4227	
00:00:04.807	7166	306	4227	
00:00:04.815	7166	306	4227	
00:00:04.976	7162	306	4227	
00:00:04.983	7162	306	4227	
00:00:05.087	7156	306	4227	
00:00:05.093	7156	306	4227	
00:00:05.257	7151	304	4226	
00:00:05.263	7151	304	4226	
00:00:05.364	7146	302	4225	
00:00:05.371	7146	302	4225	
00:00:05.545	7140	306	4227	
00:00:05.552	7140	306	4227	
00:00:05.675	7136	304	4226	
00:00:05.682	7136	304	4226	
00:00:05.851	7130	304	4226	
00:00:05.858	7130	304	4226	
00:00:05.954	7125	304	4226	
00:00:05.961	7125	304	4226	
00:00:06.078	7120	302	4225	
00:00:06.085	7120	302	4225	
00:00:06.630	7231	304	4226	
00:00:06.639	7231	304	4226	
00:00:06.762	7225	302	4225	
00:00:06.768	7225	302	4225	
00:00:06.939	7219	304	4226	
00:00:06.946	7219	304	4226	
00:00:07.103	7215	302	4225	
00:00:07.109	7215	302	4225	
00:00:07.202	7211	304	4226	
00:00:07.208	7211	304	4226	
00:00:07.321	7207	302	4225	
00:00:07.327	7207	302	4225	
00:00:07.445	7201	302	4225	
00:00:07.451	7201	302	4225	
00:00:07.619	7197	302	4225	
00:00:07.625	7197	302	4225	
00:00:07.755	7191	302	4225	
00:00:07.762	7191	302	4225	
00:00:07.940	7185	299	4224	
00:00:07.946	7185	299	4224	
00:00:08.040	7181	304	4226	
00:00:08.046	7181	304	4226	
00:00:08.191	7177	302	4225	
00:00:08.197	7177	302	4225	
00:00:08.362	7171	302	4225	
00:00:08.368	7171	302	4225	
00:00:08.516	7167	299	4224	
00:00:08.522	7167	299	4224	
00:00:08.626	7163	299	4224	
00:00:08.632	7163	299	4224	
00:00:08.814	7157	299	4224	
00:00:08.820	7157	299	4224	
00:00:08.936	7153	302	4225	
00:00:08.942	7153	302	4225	
00:00:09.155	7149	299	4224	
00:00:09.162	7149	299	4224	
00:00:09.241	7146	299	4224	
00:00:09.247	7146	299	4224	
00:00:09.512	7138	302	4225	
00:00:09.518	7138	302	4225	
00:00:10.045	7216	299	4224	
00:00:10.051	7216	299	4224	
00:00:10.194	7212	299	4224	
00:00:10.199	7212	299	4224	
00:00:10.365	7207	300	4223	
00:00:10.371	7207	300	4223	
00:00:10.458	7203	300	4223	
00:00:10.466	7203	300	4223	
00:00:10.625	7197	297	4222	
00:00:10.631	7197	297	4222	
00:00:10.737	7195	299	4224	
00:00:10.743	7195	299	4224	
00:00:10.860	7191	300	4223	
00:00:10.867	7191	300	4223	
00:00:10.985	7187	300	4223	
00:00:10.991	7187	300	4223	
00:00:11.159	7183	300	4223	
00:00:11.165	7183	300	4223	
